分组	限制项	官方值	本仓取值(官方×95%,所有者2026-08-27定稿)	接口	官方URL	官方原句	核对日期
电子表格读(sheets v2)	国际版(Lark)与国内版页面差异——100 列限制/跨表引用限制缺失	Lark 英文页无「使用限制」章节,通篇未出现 100 列限制与跨表引用/数组公式限制;ranges 参数类型也标为 array<string>(国内版标 string)	未采用(仅存档)	v2 · Lark 英文版 values/:range 与 values_batch_get	https://open.larksuite.com/document/server-docs/docs/sheets-v3/data-operation/reading-multiple-ranges?lang=en-US	| ranges | array<string> | Yes | Multiple query ranges, such as: url?ranges=range1,range2 . ⁣Here, range includes the sheetId range and cell range. Four indexing methods are supported.	2026-08-27
电子表格读(sheets v2)	单个工作表最大行数 —— 官方未说明。open.feishu.cn 电子表格概述	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		单个工作表最大行数 —— 官方未说明。open.feishu.cn 电子表格概述「使用限制」与电子表格常见问题「2. 电子表格的相关限制有哪些？」两处都只给了工作表数(300)、列数(13,000)、单元格总数(5,000,000)、单元格字符数、单篇文档电子表格数,均无行数条目。飞书帮助中心「表格常见问题」(www.feishu.cn/hc/zh-CN/articles/936038569701)同样无行数条目。搜索命中的「20 万行/100 万行/200 万行」全部是多维表格(Bitable)的规格,不适用于电子表格(Sheets),不得挪用。	2026-08-27
电子表格读(sheets v2)	values 单范围读取(v2)是否对行数设限 —— 官方未说明。该页只对特定 	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		values 单范围读取(v2)是否对行数设限 —— 官方未说明。该页只对特定 range 写法给出 100 列限制,未给任何行数限制。	2026-08-27
电子表格读(sheets v2)	values_batch_get 的 ranges 范围个数上限 —— 官方未说	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		values_batch_get 的 ranges 范围个数上限 —— 官方未说明。ranges 参数说明只写「范围之间使用逗号分隔」,全页无个数上限;Lark 英文页同样未写。	2026-08-27
电子表格读(sheets v2)	values_batch_get 是否有独立于单范围的响应体上限 —— 官方未说	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		values_batch_get 是否有独立于单范围的响应体上限 —— 官方未说明差异。两页「使用限制」文案完全一致(均 10 MB),官方未说明 batch 的 10 MB 是按单个 range 还是按整个响应聚合计算。	2026-08-27
电子表格读(sheets v2)	valueRenderOption / dateTimeRenderOption	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		valueRenderOption / dateTimeRenderOption 对响应体积的影响 —— 官方未说明。两个参数在两页(及 Lark 英文页)的说明只描述格式化语义(ToString/Formula/FormattedValue/UnformattedValue、FormattedString),完全未提及对 10 MB 上限或响应体积的影响。	2026-08-27
电子表格读(sheets v2)	v3 读接口(/sheets/v3/.../values)的限制 —— 该接口不	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		v3 读接口(/sheets/v3/.../values)的限制 —— 该接口不存在,故无限制可查。官方「方法列表 › 工作表 - 数据」下所有 values 读写端点均为 v2;sheets v3 端点仅覆盖 spreadsheet(create/patch/get)、sheets(find/replace/move_dimension)、filter、filter_views、conditions、float_images。	2026-08-27
电子表格读(sheets v2)	独立的官方「表格规格」页 —— 不存在。open.feishu.cn 上电子表格	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		独立的官方「表格规格」页 —— 不存在。open.feishu.cn 上电子表格规格只散落在「电子表格概述 › 使用限制」和「电子表格常见问题 › 问题 2」两处,无专门规格页。	2026-08-27
电子表格读(sheets v2)	错误码 90221/90227 与 10 MB 上限的官方映射关系 —— 官方未	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		错误码 90221/90227 与 10 MB 上限的官方映射关系 —— 官方未说明。两个读取接口页的「错误码」章节只写「具体可参考：服务端错误码说明」,未列出本接口会返回哪些码;通用错误码表也未点名哪个接口返回 90221。90221 对应 10 MB 超限属合理推断,官方无原文背书。	2026-08-27
频控与配额	频控作用维度(全局规则)	每个 API × 每个应用 × 每个租户	未采用(仅存档)	开放平台全局(所有 OpenAPI,含 sheets v2/v3、bitable v1、drive v1)	https://open.feishu.cn/document/server-docs/api-call-guide/frequency-control?lang=zh-CN	通常情况下，频控策略等级都是应用于 **每个 API**、 **每个应用**、**每个租户** 的基础上。	2026-08-27
频控与配额	写接口频控等级低于读接口(官方原则)	写 < 读	未采用(仅存档)	开放平台全局	https://open.feishu.cn/document/server-docs/api-call-guide/frequency-control?lang=zh-CN	根据场景的不同，同一个资源的不同操作方法可能频控等级不同。例如，写入接口的频控等级会略低于读取接口，以保护系统本身的可靠性。	2026-08-27
频控与配额	QPS 与 QPM 双上限,任一触顶即限流	任意上限触发	未采用(仅存档)	开放平台全局(等级4、以及 sheets v3 sheets/query 等「1000次/分&50次/秒」型接口)	https://open.feishu.cn/document/server-docs/api-call-guide/frequency-control?lang=zh-CN	对于不同时间周期内的限频策略（如 1000次/分&50次/秒），请求速率达到任意上限（QPS 或 QPM）都会触发限流。	2026-08-27
频控与配额	频控等级表 等级1-4	等级1=10次/分;等级2=20次/分;等级3=100次/分;等级4=1000次/分 & 50次/秒	未采用(仅存档)	基础版自建应用/商业版自建应用/商店应用三档取值相同	https://open.feishu.cn/document/server-docs/api-call-guide/frequency-control?lang=zh-CN	| 1 | 当前 API在每个应用、每个租户 10 次 / 分钟 | 10次/分 | 10次/分 | 10次/分 | ⏎ | 2 | 当前 API在每个应用、每个租户 20 次 / 分钟 | 20次/分 | 20次/分 | 20次/分 | ⏎ | 3 | 当前 API在每个应用、每个租户 100 次 / 分钟 | 100次/分 | 100次/分 | 100次/分 | ⏎ | 4 | 当前 API在每个应用、每个租户 1000 次/分钟、50 次/秒 | 1000次/分 & 50次/秒 | 1000次/分 & 50次/秒 | 1000次/分 & 50次/秒 |	2026-08-27
频控与配额	频控等级表 等级5-11、21	等级5=1次/秒;6=5次/秒;7=10次/秒;8=20次/秒;9=50次/秒;10=50次/秒(商业版100次/秒);11=100次/秒;21=3次/秒	未采用(仅存档)	按「基础版自建应用/商业版自建应用/商店应用」三列取值;仅等级10在商业版自建应用为100次/秒,其余三列一致	https://open.feishu.cn/document/server-docs/api-call-guide/frequency-control?lang=zh-CN	| 5 | 当前 API在每个应用、每个租户 1 次 / 秒 | 1次/秒 | 1次/秒 | 1次/秒 | ⏎ | 6 | 当前 API在每个应用、每个租户 5 次 / 秒 | 5次/秒 | 5次/秒 | 5次/秒 | ⏎ | 7 | 当前 API在每个应用、每个租户 10 次 / 秒 | 10次/秒 | 10次/秒 | 10次/秒 | ⏎ | 8 | 当前 API在每个应用、每个租户 20 次 / 秒 | 20次/秒 | 20次/秒 | 20次/秒 | ⏎ | 9 | 当前 API在每个应用、每个租户 50 次 / 秒 | 50次/秒 | 50次/秒 | 50次/秒 | ⏎ | 10 | 当前 API在每个应用、每个租户 50 次 / 秒 | 50次/秒 | 100次/秒 | 50次/秒 | ⏎ | 11 | 当前 API在每个应用、每个租户 100 次 / 秒 | 100次/秒 | 100次/秒 | 100次/秒 | ⏎ | 21 | 当前 API在每个应用、每个租户 3 次 / 秒 | 3次/秒 | 3次/秒 | 3次/秒 |	2026-08-27
频控与配额	存在不在标准等级内的「特殊频控」接口	需联系技术支持获取	未采用(仅存档)	开放平台全局	https://open.feishu.cn/document/server-docs/api-call-guide/frequency-control?lang=zh-CN	大部分 OpenAPI 的频控策略归属于某一个特定的频控策略等级，但也有部分 OpenAPI 由于较为复杂，不在标准的频控策略当中覆盖，你需要通过联系技术支持获取具体的频控策略。	2026-08-27
频控与配额	频控限制值可能变动	以更新日志为准	未采用(仅存档)	开放平台全局	https://open.feishu.cn/document/server-docs/api-call-guide/frequency-control?lang=zh-CN	每一个频控策略等级的具体限制值是有可能发生变化的，我们将在发生变化时通过飞书开放平台的更新日志告诉你。	2026-08-27
频控与配额	触发频控的 HTTP 状态码与错误码(新版 OpenAPI)	HTTP 429 + code 99991400	未采用(仅存档)	开放平台全局(新版 OpenAPI)	https://open.feishu.cn/document/server-docs/api-call-guide/frequency-control?lang=zh-CN	超过限制阈值时，飞书会返回 HTTP 状态码 429 ，将来自该客户端的任何进一步操作限制在一段时间内，并在失败请求的响应头中返回建议的等待时间。	2026-08-27
频控与配额	触发频控的 HTTP 状态码(旧版 OpenAPI,含 sheets v2)	HTTP 400 + code 99991400(而非 429)	认 code=99991400 不认 HTTP 状态码(本仓 sheets/v2 属旧版)	部分旧版 OpenAPI —— 本仓所用 /open-apis/sheets/v2/... 属旧版,重试判据不能只认 429	https://open.feishu.cn/document/server-docs/api-call-guide/frequency-control?lang=zh-CN	对于部分旧版 OpenAPI，你收到的 HTTP 响应可能略有不同（HTTP 状态码为 400）。示例如下： ⏎ ⏎ HTTP/1.1 400 Bad Request ⏎ Content-Type: application/json ⏎ x-ogw-ratelimit-limit: 100 //窗口期上限，单位：秒 ⏎ x-ogw-ratelimit-reset: 52 //恢复 limit 周期，单位：秒 ⏎ ⏎ { ⏎ "code": 99991400, ⏎ "msg": "request trigger frequency limit" ⏎ }	2026-08-27
频控与配额	限流响应头(退避依据)	x-ogw-ratelimit-limit(窗口期上限,单位:秒)、x-ogw-ratelimit-reset(恢复 limit 周期,单位:秒)	读 x-ogw-ratelimit-reset 精确等待(_RATELIMIT_RESET_HEADER)	开放平台全局,429 与旧版 400 两种响应均带	https://open.feishu.cn/document/server-docs/api-call-guide/frequency-control?lang=zh-CN	x-ogw-ratelimit-limit: 100 //窗口期上限，单位：秒 ⏎ x-ogw-ratelimit-reset: 52 //恢复 limit 周期，单位：秒	2026-08-27
频控与配额	官方建议的重试策略(频控页版本)	读 x-ogw-ratelimit-reset 秒数 → 等待 → 重试 → 再失败继续用该头延迟重试	_ratelimit_wait:有头按头等(上限 60s),无头退回 1/2/4/8 阶梯	开放平台全局。官方明说这是「解除限频的最好方法」;未使用 Retry-After 头	https://open.feishu.cn/document/server-docs/api-call-guide/frequency-control?lang=zh-CN	当你在实现错误处理时，可以使用 HTTP 429 错误码（部分旧版 OpenAPI 为 HTTP 400 错误码）来判断出现限流情况。失败的响应头中包含 `x-ogw-ratelimit-reset`，使用该响应头延迟请求是解除限频的最好方法。 ⏎ ⏎ 1. 等待 `x-ogw-ratelimit-reset` 中指定的秒数。 ⏎ 2. 重试请求。 ⏎ 3. 若请求再次失败并出现 HTTP 429 错误码，你将会再次被限制。可以继续使用推荐的 `x-ogw-ratelimit-reset` 延迟并重试请求，直到成功。	2026-08-27
频控与配额	官方建议的重试策略(通用错误码页版本,明确点名指数退避)	指数退避算法	未采用(仅存档)	错误码 99991400	https://open.feishu.cn/document/server-docs/api-call-guide/generic-error-code?lang=zh-CN	99991400 | request trigger frequency limit | 请求过于频繁，请降低请求频次。建议使用指数退避算法或其它频控策略降低对 API 的调用速率。详情参考 频控策略。	2026-08-27
频控与配额	错误码 11232 语义	create message service trigger rate limit	未采用(仅存档)	消息类接口/自定义机器人(非电子表格)	https://open.feishu.cn/document/server-docs/api-call-guide/generic-error-code?lang=zh-CN	11232 | create message service trigger rate limit | 创建消息触发系统超限，请参考 频控策略	2026-08-27
频控与配额	电子表格专属限流错误码 90217	TooManyRequest —— 请求太频繁,请降低请求调用频率	90217 进 _RATELIMIT_CODES(与 99991400 同一条路)	sheets v2 服务端错误码表。本仓 v2 值系列接口被限流时最可能见到的业务码,与通用 99991400 并存	https://open.feishu.cn/document/ukTMukTMukTM/ugjM14COyUjL4ITN	90217 | TooManyRequest | 请求太频繁，请降低请求调用频率	2026-08-27
频控与配额	错误码 90202/90204/90221/90227 语义(经核对均非频控码)	90202=validate RangeVal fail;90204=WrongRequestBody;90221=TooLargeResponse;90227=TooLargeRequest	未采用(仅存档)	sheets v2 服务端错误码表。90221/90227 是「体积过大」不是「频率过高」,不可当限流重试处理	https://open.feishu.cn/document/ukTMukTMukTM/ugjM14COyUjL4ITN	90202 | validate RangeVal fail | 请求中range格式有误，检查请求中的range是否合规 ⏎ 90204 | WrongRequestBody | 请求体有误，请求入参有问题，请仔细检查入参 ⏎ 90221 | TooLargeResponse | 需要返回的数据过大，降低查询量 ⏎ 90227 | TooLargeRequest | 请求数据量过大，请减少数据量	2026-08-27
频控与配额	电子表格接口频控表的适用口径(官方原句)	按「单租户单应用」计,且逐接口列出	未采用(仅存档)	电子表格全部接口(v2+v3 混列于同一张表)	https://open.feishu.cn/document/server-docs/docs/sheets-v3/overview?lang=zh-CN	电子表格相关接口有如下频率限制。你也可以在每个接口请求的基本信息中找到接口频率限制信息。	2026-08-27
频控与配额	读取单个范围 GET /open-apis/sheets/v2/spreadsheets/:spreadsheetToken/values/:range	100 次/秒(单租户单应用);无「串行」约束	未采用(仅存档)	Sheets v2 读	https://open.feishu.cn/document/server-docs/docs/sheets-v3/data-operation/reading-a-single-range?lang=zh-CN	接口频率限制 | 100 次/秒 ;（概述页表格）读取单个范围 | 单租户单应用100次/秒	2026-08-27
频控与配额	读取多个范围 GET /open-apis/sheets/v2/spreadsheets/:spreadsheetToken/values_batch_get	100 次/秒(单租户单应用);无「串行」约束	未采用(仅存档)	Sheets v2 读	https://open.feishu.cn/document/server-docs/docs/sheets-v3/data-operation/reading-multiple-ranges?lang=zh-CN	接口频率限制 | 100 次/秒 ;（概述页表格）读取多个范围 | 单租户单应用100次/秒	2026-08-27
频控与配额	向单个范围写入数据 PUT /open-apis/sheets/v2/spreadsheets/:spreadsheetToken/values	100 次/秒(单租户单应用)+ 单个文档只能串行调用	未采用(仅存档)	Sheets v2 写 —— 「单个文档只能串行调用」是按 spreadsheetToken 的并发约束,官方仅给串行要求、未给 per-token QPS 数字	https://open.feishu.cn/document/server-docs/docs/sheets-v3/overview?lang=zh-CN	向单个范围写入数据 | 单租户单应用100次/秒；单个文档只能串行调用	2026-08-27
频控与配额	向多个范围写入数据 POST /open-apis/sheets/v2/spreadsheets/:spreadsheetToken/values_batch_update	100 次/秒(单租户单应用)+ 单个文档只能串行调用	未采用(仅存档)	Sheets v2 写(本仓 api/feishu.py:681,715 在用)	https://open.feishu.cn/document/server-docs/docs/sheets-v3/overview?lang=zh-CN	向多个范围写入数据 | 单租户单应用100次/秒；单个文档只能串行调用	2026-08-27
频控与配额	追加数据 POST /open-apis/sheets/v2/spreadsheets/:spreadsheetToken/values_append	100 次/秒(单租户单应用)+ 单个文档只能串行调用	未采用(仅存档)	Sheets v2 写	https://open.feishu.cn/document/server-docs/docs/sheets-v3/overview?lang=zh-CN	追加数据 | 单租户单应用100次/秒；单个文档只能串行调用	2026-08-27
频控与配额	插入数据 POST /open-apis/sheets/v2/spreadsheets/:spreadsheetToken/values_prepend	100 次/秒(单租户单应用)+ 单个文档只能串行调用	未采用(仅存档)	Sheets v2 写	https://open.feishu.cn/document/server-docs/docs/sheets-v3/data-operation/prepend-data?lang=zh-CN	接口频率限制 | 100 次/秒 ;（概述页表格）插入数据 | 单租户单应用100次/秒；单个文档只能串行调用	2026-08-27
频控与配额	增加行列 POST /open-apis/sheets/v2/spreadsheets/:spreadsheet_token/dimension_range	100 次/秒(单租户单应用)+ 单个文档只能串行调用	未采用(仅存档)	Sheets v2 写(本仓 api/feishu.py:501 扩行、:726 DELETE 删行在用)。官方另列「删除行列 单租户单应用100次/秒；单个文档只能串行调用」	https://open.feishu.cn/document/server-docs/docs/sheets-v3/sheet-rowcol/add-rows-or-columns?lang=zh-CN	接口频率限制 | 100 次/秒 ;（概述页表格）增加行列 | 单租户单应用100次/秒；单个文档只能串行调用 / 删除行列 | 单租户单应用100次/秒；单个文档只能串行调用	2026-08-27
频控与配额	批量设置单元格样式 POST /open-apis/sheets/v2/spreadsheets/:token/styles_batch_update	100 次/秒(单租户单应用)+ 单个文档只能串行调用	未采用(仅存档)	Sheets v2 写(本仓 api/feishu.py:754 在用)	https://open.feishu.cn/document/server-docs/docs/sheets-v3/overview?lang=zh-CN	批量设置单元格样式 | 单租户单应用100次/秒；单个文档只能串行调用	2026-08-27
频控与配额	电子表格低频接口(分钟级)一览	创建表格 20次/分;修改电子表格属性 20次/分;获取电子表格信息 100次/分;移动行列 100次/分;查找单元格 100次/分;替换单元格 20次/分;筛选/浮动图片系列 20-100次/分	未采用(仅存档)	Sheets 概述页频控表。这些是分钟级配额,比 100次/秒 的值系列严格两个数量级	https://open.feishu.cn/document/server-docs/docs/sheets-v3/overview?lang=zh-CN	创建表格 | 单租户单应用20次/分钟 ⏎ 修改电子表格属性 | 单租户单应用20次/分钟 ⏎ 获取电子表格信息 | 单租户单应用100次/分钟 ⏎ 移动行列 | 单租户单应用100次/分钟 ⏎ 查找单元格 | 单租户单应用100次/分钟 ⏎ 替换单元格 | 单租户单应用20次/分钟 ⏎ 创建筛选 | 单租户单应用20次/分钟 ⏎ 更新筛选 | 单租户单应用20次/分钟	2026-08-27
频控与配额	v2 与 v3 频控差异(重点)	v3 获取工作表 GET /open-apis/sheets/v3/spreadsheets/:spreadsheet_token/sheets/query = 1000 次/分钟、50 次/秒;而 v2 值系列 = 100 次/秒	未采用(仅存档)	Sheets v3 读 vs v2 读。本仓 api/feishu.py:475,483 走 v3 sheets/query —— 它有 QPM 上限(1000/分)且 QPS 只有 50,严于 v2 的 100/秒	https://open.feishu.cn/document/server-docs/docs/sheets-v3/spreadsheet-sheet/query?lang=zh-CN	接口频率限制 | 1000 次/分钟、50 次/秒	2026-08-27
频控与配额	v3 获取电子表格信息 GET /open-apis/sheets/v3/spreadsheets/:spreadsheet_token	100 次/分钟	未采用(仅存档)	Sheets v3 读。与概述页「获取电子表格信息 单租户单应用100次/分钟」一致	https://open.feishu.cn/document/server-docs/docs/sheets-v3/spreadsheet/get?lang=zh-CN	接口频率限制 | 100 次/分钟	2026-08-27
频控与配额	多维表格 新增记录 POST /open-apis/bitable/v1/apps/:app_token/tables/:table_id/records	50 次/秒	0.15s 批间节流(_WRITE_THROTTLE_SECS)	Bitable v1 写。按全局规则即「每个应用、每个租户」50 次/秒	https://open.feishu.cn/document/server-docs/docs/bitable-v1/app-table-record/create?lang=zh-CN	接口频率限制 | 50 次/秒	2026-08-27
频控与配额	多维表格 新增多条记录 POST .../records/batch_create	50 次/秒;单次调用最多新增 1,000 条记录	950 条/批(_BITABLE_BATCH_CREATE_MAX)+ 0.15s 节流	Bitable v1 写	https://open.feishu.cn/document/server-docs/docs/bitable-v1/app-table-record/batch_create?lang=zh-CN	接口频率限制 | 50 次/秒 ；单次调用最多新增 1,000 条记录 ；1254104 单次添加记录数量超限, 单次调用最多更新 1,000 条记录	2026-08-27
频控与配额	多维表格 查询记录 POST .../records/search	20 次/秒;单次最多查询 500 行记录	475 行/页(_BITABLE_PAGE_SIZE)	Bitable v1 读。注意读(20/秒)比写(50/秒)更严,与「写低于读」的一般原则相反	https://open.feishu.cn/document/docs/bitable-v1/app-table-record/search?lang=zh-CN	接口频率限制 | 20 次/秒 ；单次最多查询 500 行记录，支持分页获取	2026-08-27
频控与配额	多维表格 按 base/数据表 的并发约束(替代 per-base QPS)	同一个数据表(table)不支持并发调用写接口	未采用(仅存档)	Bitable v1 全部写接口(新增/修改/删除记录,新增/修改/删除字段,修改表单,修改视图等)。错误码 1254291 Write conflict	https://open.feishu.cn/document/server-docs/docs/bitable-v1/app-table-record/create?lang=zh-CN	1254291 | Write conflict | 同一个数据表(table) 不支持并发调用写接口，请检查是否存在并发调用写接口。写接口包括：新增、修改、删除记录；新增、修改、删除字段；修改表单；修改视图等。	2026-08-27
频控与配额	多维表格底层串行处理(1254607 排查建议原文)	基于版本维度的串行方式,不支持并发;不建议对单个数据表并发请求	未采用(仅存档)	Bitable v1。官方明确点名频繁编辑会触发 1254607 Data not ready	https://open.feishu.cn/document/server-docs/docs/bitable-v1/app-table-record/create?lang=zh-CN	该报错一般是由于前置操作未执行完成，或本次操作数据太大，服务器计算超时导致。遇到该错误码时，建议等待一段时间后重试。通常有以下几种原因：- **编辑操作频繁**：开发者对多维表格的编辑操作非常频繁。可能会导致由于等待前置操作处理完成耗时过长而超时的情况。多维表格底层对数据表的处理基于版本维度的串行方式，不支持并发。因此，并发请求时容易出现此类错误，不建议开发者对单个数据表进行并发请求。	2026-08-27
频控与配额	云文档 下载文件 GET /open-apis/drive/v1/files/:file_token/download	5 QPS,10000 次/天;超限返回 1061045	未采用(仅存档)	Drive v1。注意这是「次/天」的日配额,与秒级 QPS 并存	https://open.feishu.cn/document/server-docs/docs/drive-v1/download/download?lang=zh-CN	该接口调用频率上限为 5 QPS，10000 次/天。否则会返回 1061045 错误码，可通过稍后重试解决。	2026-08-27
频控与配额	云文档 上传素材 POST /open-apis/drive/v1/medias/upload_all	5 QPS,10000 次/天;单文件最大 20 MB	未采用(仅存档)	Drive v1(本仓 api/feishu.py:413 在用)	https://open.feishu.cn/document/server-docs/docs/drive-v1/media/upload_all?lang=zh-CN	该接口调用频率上限为 5 QPS，10000 次/天	2026-08-27
频控与配额	自建应用 API 调用总量配额(基础免费版)	2026 年 6 月份限时 100 万次/月,每个自然月 1 号刷新	月度配额,不设本仓值;耗尽即 99991403	飞书基础免费版,单租户下「所有」企业自建应用合计;未认证企业与认证企业同额	https://open.feishu.cn/document/platform-notices/platform-updates-/custom-app-api-call-limit?lang=zh-CN	单租户下所有企业自建应用的 API 调用总量上限调整为 2026 年 6 月份限时 **100 万次**，该上限在每个自然月的 1 号刷新。	2026-08-27
频控与配额	超出月度调用量配额的后果	调用失败,返回 99991403	99991403 移出可重试集合,直接抛(_check_quota)	飞书基础免费版企业自建应用;2024 年 12 月 3 日起生效	https://open.feishu.cn/document/platform-notices/platform-updates-/custom-app-api-call-limit?lang=zh-CN	飞书基础免费版的企业自建应用，在当月超过 API 调用量上限后，将无法继续调用计算调用量的 OpenAPI，继续调用将会失败，并返回 `99991403` 错误码。	2026-08-27
频控与配额	错误码 99991403 语义(通用错误码表)	This month's API call quota has been exceeded	_QUOTA_EXHAUSTED_CODE=99991403,不可重试	月度调用量配额耗尽,非频控;不可退避重试,只能升级版本或等下月 1 号	https://open.feishu.cn/document/server-docs/api-call-guide/generic-error-code?lang=zh-CN	99991403 | This month's API call quota has been exceeded | 本月 API 调用次数已达上限，请联系企业管理员升级飞书版本。详情参见自建应用 API 调用量上限调整说明。	2026-08-27
频控与配额	调用量配额历史生效节点	2024-11-13 起 10,000 次/月(允许超量);2024-12-03 起超限即失败	未采用(仅存档)	飞书基础免费版企业自建应用	https://open.feishu.cn/document/platform-notices/platform-updates-/custom-app-api-call-limit?lang=zh-CN	2024 年 11 月 13 日起 | 飞书基础免费版内，单租户下所有企业自建应用的 API 调用总量上限调整为 **10,000 次/月**，但允许超量调用 OpenAPI。	2026-08-27
频控与配额	提频通道	不支持自行调整;需联系企业 CSM。消息、群组、多维表格暂不支持提频	未采用(仅存档)	开放平台全局。注意:电子表格未被列入「不支持提频」名单	https://open.feishu.cn/document/server-docs/api-call-guide/frequency-control?lang=zh-CN	飞书开放平台暂不支持自行调整 API 接口频控。如你有数据迁移、大型活动等场景需要短时间提升接口频控，可联系所在企业的 CSM（客户成功经理），提升接口频控。 ⏎ 消息、群组、多维表格暂时不支持提频。	2026-08-27
频控与配额	自定义机器人频控(与普通应用不同)	单租户单机器人 100 次/分钟,5 次/秒	未采用(仅存档)	自定义机器人 webhook(非 OpenAPI 应用凭证调用)。官方建议避开整点/半点,否则可能触发 11232	https://open.feishu.cn/document/server-docs/api-call-guide/frequency-control?lang=zh-CN	自定义机器人的频率控制和普通应用不同，为单租户单机器人 100 次/分钟，5 次/秒。**建议发送消息尽量避开诸如 10:00、17:30 等整点及半点时间**，否则可能出现因系统压力导致的 11232 限流错误，导致消息发送失败。	2026-08-27
频控与配额	逐接口频控为唯一权威口径(官方 FAQ 原句)	无统一阈值,查对应接口文档	未采用(仅存档)	云文档全域(docs/sheets/bitable/drive)	https://open.feishu.cn/document/docs/docs/faq?lang=zh-CN	服务端 OpenAPI 接口限频阈值是多少？具体请查阅对应接口文档，比如 更新块的内容 接口频率限制为每个应用 3 次/秒。	2026-08-27
频控与配额	开放平台全局单应用 QPS	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		【开放平台全局单应用 QPS】官方未说明 —— 不存在「单应用总 QPS」这一统一数字。官方口径是频控按『每个 API、每个应用、每个租户』分级计算(频控策略页),不同接口分属等级 1-11/21,没有跨接口汇总的应用级 QPS 闸门。全局层面只有月度『API 调用总量』配额(次/月),没有全局 QPS。	2026-08-27
频控与配额	Retry-After 响应头	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		【Retry-After 响应头】官方未说明 —— 频控策略页与通用错误码页均未出现 Retry-After。官方指定的退避依据是自定义头 x-ogw-ratelimit-reset(单位:秒)。按 Retry-After 实现重试会读不到值。	2026-08-27
频控与配额	电子表格按 spreadsheetToken 的 QPS 数字	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		【电子表格按 spreadsheetToken 的 QPS 数字】官方未说明 —— 概述页只给出两条:『单租户单应用100次/秒』(应用维度数字)与『单个文档只能串行调用』(文档维度并发约束,无数字)。官方从未给出 per-token 的每秒次数,只要求同一文档写操作串行,不能并发。	2026-08-27
频控与配额	多维表格按 base(app_token)的读写 QPS	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		【多维表格按 base(app_token)的读写 QPS】官方未说明 —— 多维表格概述页(bitable-overview)与多维表格常见问题页(bitable-v1/faq)均无频控表,两页实测无任何频率限制文本。官方只在逐个端点的基本信息里给出应用维度数字(新增/新增多条 50 次/秒、查询记录 20 次/秒),base 维度仅有并发禁令(1254291『同一个数据表(table) 不支持并发调用写接口』),无 QPS 数字。	2026-08-27
频控与配额	云文档(drive)通用频控	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		【云文档(drive)通用频控】官方未说明 —— 不存在 drive 域的统一 QPS。云文档常见问题页(server-docs/docs/faq)无任何频控文本;文档常见问题页(docs/docs/faq)明确让开发者『查阅对应接口文档』。只有逐接口值,例如下载文件与上传素材各自 5 QPS + 10000 次/天。电子表格虽在产品上归属云文档,但频控走 sheets 自己的接口表,不继承 drive 的 5 QPS。	2026-08-27
频控与配额	sheets v2 值系列接口的日配额(次/天)	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		【sheets v2 值系列接口的日配额(次/天)】官方未说明 —— drive 的 download/upload_all 有 10000 次/天,但 sheets v2/v3 各接口文档只给秒级或分钟级限制,未给出任何『次/天』上限。	2026-08-27
频控与配额	错误码 11232 是否适用于电子表格	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		【错误码 11232 是否适用于电子表格】官方未说明 —— 通用错误码表把 11232 定义为 create message service trigger rate limit(创建消息触发系统超限),语义属消息域。未见任何官方页把 11232 与 sheets/bitable/drive 关联。电子表格限流对应的是 90217 TooManyRequest 与通用 99991400。	2026-08-27
频控与配额	商业版/企业版/旗舰版的 API 月调用量上限数字	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		【商业版/企业版/旗舰版的 API 月调用量上限数字】官方未说明 —— custom-app-api-call-limit 页只写基础免费版的数字(2026 年 6 月限时 100 万次/月),对付费版本只说『请联系企业管理员升级飞书版本』,未给具体额度。	2026-08-27
频控与配额	触发频控时是否有并发连接数上限	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		【触发频控时是否有并发连接数上限】官方未说明 —— 各页只给速率(次/秒、次/分)与串行/并发禁令,未给出最大并发连接数。	2026-08-27
频控与配额	x-ogw-ratelimit-reset 的取值范围或最大等待秒数	官方未说明	未采用(仅存档)	(官方未说明,不许推断)		【x-ogw-ratelimit-reset 的取值范围或最大等待秒数】官方未说明 —— 示例中为 52,但未说明上下界。	2026-08-27
